;Time;Robot;Move
275;195.184;robot1;a_unknown
276;195.185;robot1;a_unknown
277;195.186;robot1;a_unknown
278;195.187;robot1;a_unknown
279;195.188;robot1;a_unknown
280;195.189;robot1;a_unknown
281;195.19;robot1;a_unknown
282;195.191;robot1;a_unknown
283;195.192;robot1;a_unknown
284;195.193;robot1;a_unknown
285;195.194;robot1;a_unknown
286;195.195;robot1;a_unknown
287;195.196;robot1;a_unknown
288;195.197;robot1;a_unknown
289;195.198;robot1;a_unknown
290;195.199;robot1;a_unknown
291;195.2;robot1;a_unknown
292;195.201;robot1;a_unknown
293;195.202;robot1;a_unknown
294;195.203;robot1;a_unknown
295;195.204;robot1;a_unknown
296;195.205;robot1;a_unknown
297;195.206;robot1;a_unknown
298;195.207;robot1;a_unknown
299;195.208;robot1;a_unknown
300;195.209;robot1;a_unknown
301;195.21;robot1;a_unknown
302;195.211;robot1;a_unknown
303;195.212;robot1;a_unknown
304;195.213;robot1;a_unknown
305;195.214;robot1;a_unknown
306;195.215;robot1;a_unknown
307;195.216;robot1;a_unknown
308;195.217;robot1;a_unknown
309;195.218;robot1;a_unknown
310;195.219;robot1;a_unknown
311;195.22;robot1;a_unknown
312;195.221;robot1;a_unknown
313;195.222;robot1;a_unknown
314;195.223;robot1;a_unknown
315;195.224;robot1;a_unknown
316;195.225;robot1;a_unknown
317;195.226;robot1;a_unknown
318;195.227;robot1;a_unknown
319;195.228;robot1;a_unknown
320;195.229;robot1;a_unknown
321;195.23;robot1;a_unknown
322;195.231;robot1;a_unknown
323;195.232;robot1;a_unknown
324;195.233;robot1;a_unknown
325;195.234;robot1;a_unknown
326;195.235;robot1;a_unknown
327;195.236;robot1;a_unknown
328;195.237;robot1;a_unknown
329;195.238;robot1;a_unknown
330;195.239;robot1;a_unknown
331;195.24;robot1;a_unknown
332;195.241;robot1;a_unknown
333;195.242;robot1;a_unknown
334;195.243;robot1;a_unknown
335;195.244;robot1;a_unknown
336;195.245;robot1;a_unknown
337;195.246;robot1;a_unknown
338;195.247;robot1;a_unknown
339;195.248;robot1;a_unknown
340;195.249;robot1;a_unknown
341;195.25;robot1;a_unknown
342;195.251;robot1;a_unknown
343;195.252;robot1;a_unknown
344;195.253;robot1;a_unknown
345;195.254;robot1;a_unknown
346;195.255;robot1;a_unknown
347;195.256;robot1;a_unknown
348;195.257;robot1;a_unknown
349;195.258;robot1;a_unknown
350;195.26;robot1;a_unknown
351;195.261;robot1;a_unknown
352;195.262;robot1;a_unknown
353;195.263;robot1;a_unknown
354;195.264;robot1;a_unknown
355;195.265;robot1;a_unknown
356;195.266;robot1;a_unknown
357;195.267;robot1;a_unknown
358;195.268;robot1;a_unknown
359;195.269;robot1;a_unknown
360;195.27;robot1;a_unknown
361;195.271;robot1;a_unknown
362;195.272;robot1;a_unknown
363;195.273;robot1;a_unknown
364;195.274;robot1;a_unknown
