Time,Robot,PosX,PosY,LinX,AngZ
311.251,robot1,-27.65006620741904,39.197750307388596,-4.859684877238617e-12,-1.09826606891636e-11
311.351,robot1,-27.650066207420444,39.19775030739326,-4.6095791320160774e-12,-1.1776339893324479e-11
311.451,robot1,-27.650066207421848,39.19775030739793,-4.576293917178523e-12,-1.2382780310199978e-11
311.551,robot1,-27.650066207423247,39.19775030740261,-5.049701876299368e-12,-1.2198530427930878e-11
311.651,robot1,-27.65006620742465,39.197750307407276,-4.8329074780988625e-12,-9.831227822627562e-12
311.751,robot1,-27.65006620742605,39.197750307411944,-4.4915099359588576e-12,-9.98766888095439e-12
311.851,robot1,-27.650066207427454,39.197750307416605,-5.02435643974629e-12,-1.1375724418124082e-11
311.951,robot1,-27.650066207428857,39.19775030742118,-4.79765911773636e-12,-8.447893095062607e-12
312.051,robot1,-27.650066207430257,39.197750307425736,-5.00965691755295e-12,-1.0760076091406917e-11
312.151,robot1,-27.650066207431657,39.19775030743029,-5.0306374527544006e-12,-1.0546908517347831e-11
312.251,robot1,-27.64986524205035,39.197273302662424,0.02680858539082566,0.007762085696153741
312.351,robot1,-27.639600640449714,39.17092725545463,0.1653401648265143,8.302468679071327e-08
312.451,robot1,-27.621594891804634,39.124614405163264,0.1811811898820929,1.2157162889838906e-07
312.55,robot1,-27.603476849166864,39.078012732249185,0.18118036741240176,-1.0252928521000838e-07
312.651,robot1,-27.585358808408056,39.03141109598509,0.18118049350939486,9.195400910938381e-09
312.751,robot1,-27.567240741617187,38.984809442641776,0.18118087450609285,1.6019684143352625e-07
312.851,robot1,-27.549122627617407,38.93820772396833,0.1811814163610247,2.7573452528689175e-07
312.95,robot1,-27.531004456853225,38.89160590788348,0.18118198584623568,3.2193092379192746e-07
313.051,robot1,-27.51288623371021,38.84500398622964,0.18118244326242272,2.863670909747746e-07
313.151,robot1,-27.494767975407115,38.79840197667737,0.1811826766852059,1.7725461578071748e-07
313.251,robot1,-27.47664970775672,38.75179991833831,0.1811826291235159,2.0902752682831632e-08
313.351,robot1,-27.458531458853933,38.705197862208045,0.18118231214752936,-1.4480025780286937e-07
313.45,robot1,-27.440413252229703,38.658595858760535,0.18118180292997302,-2.796757387466381e-07
313.55,robot1,-27.42229510111736,38.611993945657666,0.18118122556331867,-3.5109088004074225e-07
313.651,robot1,-27.40417700521041,38.56539213852139,0.18118072101010593,-3.419613776938505e-07
313.751,robot1,-27.38605895070808,38.518790427034105,0.18118041275784605,-2.549254369116065e-07
313.851,robot1,-27.36794091366512,38.4721887773909,0.1811803764114368,-1.1169206148483667e-07
313.951,robot1,-27.34982286585298,38.425587140571274,0.1811806208542882,5.226195737594815e-08
314.051,robot1,-27.331704781699152,38.37898546440964,0.1811810858606451,1.9639149747467372e-07
314.151,robot1,-27.313586644580578,38.33238370644642,0.18118165697187655,2.8499745939333766e-07
314.25,robot1,-27.295468450900927,38.285781844340434,0.1811821938475023,2.9596911976926373e-07
314.351,robot1,-27.277350210947382,38.23917988127818,0.18118256485986955,2.2619395497920247e-07
314.451,robot1,-27.25923194633953,38.192577845111046,0.18118267924949968,9.23262052709979e-08
314.551,robot1,-27.24111368472548,38.14597578150817,0.18118250902650015,-7.328872647529819e-08
314.651,robot1,-27.222995453034137,38.09937374282702,0.1811820955533191,-2.3054379923435653e-07
314.751,robot1,-27.20487727091679,38.05277177537908,0.18118153944426507,-3.413806898303089e-07
314.851,robot1,-27.18675914595235,38.006169908130865,0.18118097623275214,-3.7910722867513864e-07
314.951,robot1,-27.168641071775898,37.95956814557007,0.1811805434810626,-3.3495644859919837e-07
315.051,robot1,-27.150523029603807,37.91296646652232,0.18118034712380732,-2.2019952620154104e-07
315.151,robot1,-27.1324049928136,37.86636482928594,0.18118043525380795,-6.341915650820134e-08
315.251,robot1,-27.11428693347532,37.81976318187319,0.18118078603446033,9.65269775893358e-08
